# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSS_IN_SOURCE	IPA	TOKENS	SOURCE	COGID	TBL_ID	NOTE
181	Kulung	to hold	grab, hold, catch, seize, grasp, khalamba lamma catch a cold (vt-4 [1: lap- 2: lapp- 3: lam-])	lamma	l a m m a	Tolsma1999	0	1709	Nepali: samātnu, pakranu. (Tolsma1999)
#
182	Kulung	to hunt	chase, pursue, drive off (cattle, people), push, follow, take a road (vt-4 [1: kǝl- 2: kǝll- 3: kǝl-])	kǝlma	k ǝ l m a	Tolsma1999	0	1230	Nepali: dhapāunu, khednu, ghaceḍnu, pachyāunu. (Tolsma1999)
#
183	Kulung	to kill	kill, extinguish (fire), put off (vt-5 [1: set- 2: sett- 3: sei- 4: sen- 5: se:-])	seima	s e i m a	Tolsma1999	0	1602	Nepali: mārnu. (Tolsma1999)
#
184	Kulung	to knead	knead (vt-3 [1: cǝk- 2: cɔ:- 3: cɔk-])	cɔ:ma	ts ɔ: m a	Tolsma1999	0	1594	Nepali: muchnu. (Tolsma1999)
#
185	Kulung	to know (something)	know (a fact, person, way), recognize (vt-5 [1: chet- 2: chett- 3: chei- 4: cen- 5: ce:-])	cheima	tsʰ e i m a	Tolsma1999	0	1398	Nepali: cinnu. (Tolsma1999)
#
186	Kulung	to laugh	laugh (vi-3 [1: ges- 2: ge-])	gema	g e m a	Tolsma1999	0	1735	Nepali: hāṃsnu. (Tolsma1999)
#
187	Kulung	to learn	learn (vr [1: i- 2: it-])	incima	i n ts i m a	Tolsma1999	0	1742	Nepali: siknu (Tolsma1999)
