NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
241	we [first person plural inclusive]	1131	930	822	we, us (plural inclusive). (pro.)
241	we [first person plural inclusive]	1131	930	824	we, us (plural exclusive). (pro.)
241	we [first person plural inclusive]	1131	930	1392	we, us (dual inclusive). (pro.)
241	we [first person plural inclusive]	1131	930	1394	we, us (dual exclusive). (pro.)
#>>>
242	wet	1726	1029	1494	get wet, become wet (vi.)
243	what	1236	954		???
244	where	1237	955	462	become dislocated, jump or slide out of its socket or place (vi.)
#<<<
245	white	1335	1006	1840	white (adj.)
245	white	1335	1006	1960	white (adj.n.)
245	white	1335	1006	2218	white (adj.)
245	white	1335	1006	2217	white, white-kind; a white one (adj.n.)
#>>>
246	who	1235	953	1450	who, whom. (pro.abs.)
247	yellow	1424	1008	1286	yellow, the pure yellow of yellow daffodils (adj.)
248	yesterday	1174	739		???
#<<<
249	you [second person plural]	1213	933	401	you (pl.) (pro.)
249	you [second person plural]	1213	933	1278	you (dual) (pro.)
249	you [second person plural]	1213	933	1279	you (singular) (pro.)
249	you [second person plural]	1213	933	1870	be activated, in the expressions: 1) -miʔ yu:maʔ feel sleepy; 2) -lɛm yu:maʔ [lɛm kidney] lack the energy to do something, lack the spunk; 3) with immaʔ 'to sleep' in the impersonal construction: immaʔ yu:/yu:sɛ become/became sleepy; 4) with ye:ʔmaʔ 'to laugh' or -ye: 'urge to laugh' ; 5) -yam yu:maʔ not look forward to doing something (vi.)
#>>>
250	young	1207	1059		???
