ID	rn	reflex	GLOSS	x	srcabbr	lgid	language	srcid
231	465380	ba-ri	compound; courtyard (n)		RB-LMMG	1945	Garo (Bangladesh)	5.622-II:idx
232	465381	ba-ri-a	increase (vi)		RB-LMMG	1945	Garo (Bangladesh)	8.435-II:idx
233	465382	ba•-rik-a	care for; carry baby (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.532-II:idx
234	465383	ba-ring	brinjal; eggplant (n)		RB-LMMG	1945	Garo (Bangladesh)	5.23-II:idx
235	465384	bas	bus (n)		RB-LMMG	1945	Garo (Bangladesh)	5.86-II:idx
236	465385	ba-sa	language (n)		RB-LMMG	1945	Garo (Bangladesh)	7.11-II:idx
237	465386	ba-sa-a	float (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.279-II:idx
238	465387	ba-si-a	choose; select; sort out (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.536-II:idx
239	465388	ba-sik-o	when? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
240	465389	ba-sik-o-ba	never; sometime (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.71-II:idx
241	465390	ba-sur	calf (n)		RB-LMMG	1945	Garo (Bangladesh)	5.33-II:idx
242	465391	ba-sur	grindstones (n)		RB-LMMG	1945	Garo (Bangladesh)	5.438-II:idx
243	465392	bat-a	exceed; increase; pass (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.312-II:idx
244	465393	bat-cha	where from?; where to? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
245	465394	bat-e	more (pp)		RB-LMMG	1945	Garo (Bangladesh)	1.17-II:idx
246	465395	ba-ti	bowl; saucer (n)		RB-LMMG	1945	Garo (Bangladesh)	5.434-II:idx
247	465396	bat-i	lamp (n)		RB-LMMG	1945	Garo (Bangladesh)	5.82-II:idx
248	465397	bat-il	bow; crossbow (n)		RB-LMMG	1945	Garo (Bangladesh)	5.845-II:idx
249	465398	bat-ol	dike (n)		RB-LMMG	1945	Garo (Bangladesh)	5.114-II:idx
250	465399	ba•-tom-a	carry child (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.532-II:idx
251	465400	-be-	very (aa)		RB-LMMG	1945	Garo (Bangladesh)	3.342-II:idx
252	465401	be•-a	break (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.282-II:idx
253	465402	be-bak	all (n)		RB-LMMG	1945	Garo (Bangladesh)	3.343-II:idx
254	465403	be-be	correctly; really; truly (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.44-II:idx
255	465404	be-be ra•-a	believe (vt)		RB-LMMG	1945	Garo (Bangladesh)	7.41-II:idx
256	465405	be•-chil-ak-a	cracked (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.282-II:idx
257	465406	be•-dem-a	folded (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.641-II:idx
258	465407	be-di	altar (n)		RB-LMMG	1945	Garo (Bangladesh)	8.58-II:idx
259	465408	be•-dip-a	cracked (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.282-II:idx
260	465409	be-dol	clay; mud (n)		RB-LMMG	1945	Garo (Bangladesh)	4.246-II:idx
261	465410	be•-el-e gal-a	spit (vt)		RB-LMMG	1945	Garo (Bangladesh)	5.478-II:idx
262	465411	be•-en	body; flesh; meat (n)		RB-LMMG	1945	Garo (Bangladesh)	6.27-II:idx
