ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
238	473391	bisangba	somewhere	prof	SVB-GA	1973	Atong	
239	473392	bisangmi	from where?	interr	SVB-GA	1973	Atong	
240	473393	bisangmyng	from where?	interr	SVB-GA	1973	Atong	
241	473394	bisi	poison	n	SVB-GA	1973	Atong	
242	473395	biskut	biscuit	n	SVB-GA	1973	Atong	
243	473396	biskyn	how much? how many?	interr	SVB-GA	1973	Atong	
244	473397	bistibal	Thursday	n	SVB-GA	1973	Atong	
245	473398	bisyl	coin	n	SVB-GA	1973	Atong	
246	473399	bitykyi	by which way?	interr	SVB-GA	1973	Atong	
247	473400	-bo	imperative mood clausal enclitic	encl.cl	SVB-GA	1973	Atong	
248	473401	bo•rang	tree house	n	SVB-GA	1973	Atong	
249	473402	boba	crazy man, idiot	n	SVB-GA	1973	Atong	
250	473403	bobi	crazy woman, idiot	n	SVB-GA	1973	Atong	
251	473404	bobylawthok	fool	n	SVB-GA	1973	Atong	
252	473405	bochi	sister-in-law: elder brother's wife (Siju dialect)	n	SVB-GA	1973	Atong	
253	473406	ja•chung	sister-in-law: elder brother's wife (Siju dialect)	n	SVB-GA	1973	Atong	
254	473407	bodol-	change	v	SVB-GA	1973	Atong	
255	473408	boiom	jug	n	SVB-GA	1973	Atong	
256	473409	bokbok	liar	n	SVB-GA	1973	Atong	
257	473410	bol-	cause irritation or itching	v	SVB-GA	1973	Atong	
258	473411	boli	offer to a spirit	n	SVB-GA	1973	Atong	
259	473412	bonduk	gun, shotgun	n	SVB-GA	1973	Atong	
260	473413	bondyk	gun, shotgun	n	SVB-GA	1973	Atong	
261	473414	byndyk	gun, shotgun	n	SVB-GA	1973	Atong	
262	473415	-bongbong	V more than necessary, V in abundance, V scandalously much	evsp	SVB-GA	1973	Atong	
263	473416	bong(bong)	liar	n	SVB-GA	1973	Atong	
264	473417	bonyng	brother-in-law	n	SVB-GA	1973	Atong	
265	473418	borong	cob, part of the fruit where the seeds are set in	n	SVB-GA	1973	Atong	
266	473419	bosok-	itch, to be irritated, to experience the sensation of irritation or itching	v	SVB-GA	1973	Atong	
267	473420	bostu	thing	n	SVB-GA	1973	Atong	
268	473421	bot-	court, to woo, to flatter	v	SVB-GA	1973	Atong	
269	473422	botol	bottle or its volume, bottleful	n	SVB-GA	1973	Atong	
