# EDICTOR
@modified: 2015-01-20 10:39
#
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
132	Qiliqiao	bed	t͡so₂₁	t͡s o ₂₁	- - - - - - t͡s o - ₂₁ - - -	tso21	bed	Allen2007	226	171	床	CVT	?
133	Yunlong	bed	kʰɤ₃₁	kʰ ɤ ₃₁	- - - - - - kʰ ɤ - ₃₁ - - -	kʰɤ31	bed	Allen2007	226	171	床	CVT	?
134	Xiangyun	bed	pʰẽ₃₁	pʰ ẽ ₃₁	- - - - - - pʰ ẽ - ₃₁ - - -	pʰẽ31	bed	Allen2007	226	171	床	CVT	?
135	Luobenzhuo	bed	ɴ̣₃₃tĩ₃₃ʧʰʊ₃₁qʰã₄₂	ɴ̣ ₃₃ t ĩ ₃₃ ʧʰ ʊ ₃₁ qʰ ã ₄₂	ɴ̣ - ₃₃ t ĩ ₃₃ ʧʰ ʊ - ₃₁ qʰ ã ₄₂	ɴ̣33tĩ33ʧʰʊ31qʰã42	bed	Allen2007	226	171	床	cTCVTCVTCVT	?
#
136	Tuoluo	bee	fɚ̃₅₅	f ɚ̃ ₅₅	( - - - ) f ɚ̃ - ₅₅	fɚ̃55	bee	Wang2006a	367	115	?	CVT	?
137	Gongxing	bee	pfuŋ₅₅	p f u ŋ ₅₅	( - - - ) pf u ŋ ₅₅	pfuŋ55	bee	Wang2006a	367	115	?	CCVcT	?
138	Enqi	bee	fo₂₄	f o ₂₄	( - - - ) f o - ₂₄	fo24	bee	Wang2006a	367	115	?	CVT	?
139	Ega	bee	xõ₅₅	x õ ₅₅	( - - - ) x õ - ₅₅	xõ55	bee	Wang2006a	367	115	?	CVT	?
140	Jinman	bee	xõ₅₅	x õ ₅₅	( - - - ) x õ - ₅₅	xõ55	bee	Wang2006a	367	115	?	CVT	?
141	Jinxing	bee	fɤ̃₅₅	f ɤ̃ ₅₅	( - - - ) f ɤ̃ - ₅₅	fṽ55	bee	Wang2006a	367	115	?	CVT	?
142	Dashi	bee	fɤ̃₅₅	f ɤ̃ ₅₅	( - - - ) f ɤ̃ - ₅₅	fṽ55	bee	Wang2006a	367	115	?	CVT	?
143	Zhoucheng	bee	fɤ₅₅	f ɤ ₅₅	( - - - ) f ɤ - ₅₅	fv55	bee	Wang2006a	367	115	?	CVT	?
144	Mazhelong	bee	pʰen₅₅	pʰ e n ₅₅	( - - - ) pʰ e n ₅₅	pʰen55	bee	Wang2006a	367	115	?	CVcT	?
145	Jianchuan	bee	fɤ̃₅₅	f ɤ̃ ₅₅	( - - - ) f ɤ̃ - ₅₅	fɤ̃55	bee	Allen2007	71	115	蜜蜂	CVT	?
146	Eryuan	bee	t͡sɿ₅₅fɤ₅₅	t͡s ɿ ₅₅ f ɤ ₅₅	( t͡s ɿ ₅₅ ) f ɤ - ₅₅	tsɿ55fɤ55	bee	Allen2007	71	115	蜜蜂	CVTCVT	?
147	Heqi	bee	fɤ̃₅₅	f ɤ̃ ₅₅	( - - - ) f ɤ̃ - ₅₅	fɤ̃55	bee	Allen2007	71	115	蜜蜂	CVT	?
148	Lanping	bee	fɯ̃₅₅	f ɯ̃ ₅₅	( - - - ) f ɯ̃ - ₅₅	fɯ̃55	bee	Allen2007	71	115	蜜蜂	CVT	?
149	Qiliqiao	bee	fɤ₅₅	f ɤ ₅₅	( - - - ) f ɤ - ₅₅	fɤ55	bee	Allen2007	71	115	蜜蜂	CVT	?
