ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
196	Bahing	the tree	122592	906	372	tree, Bœhmeria platyphylla (n df.)	mɔksɔrɔŋma	m ɔ ks ɔ r ɔ ŋ m a
197	Bahing	the tree	122114	906	372	tree, Schima wallichii (n df.)	tsoːsiŋ	ts oː s i ŋ
198	Bahing	the tree	122065	906	372	tree, Eurya acuminata (n df.)	tsɛksiŋ	ts ɛ ks i ŋ
199	Bahing	the tree	122137	906	372	tree, Nep. sahaj (n df.)	dzindam	d z i n d a m
200	Bahing	the tree	121918	906	372	tree (n df.)	khysiŋ	kh y s i ŋ
201	Bahing	the tree	122264	906	372	tree (n)	dɛksi	d ɛ ks i
202	Bahing	the tree	122295	906	372	tree (n)	dhɛksi	dh ɛ ks i
203	Bahing	the tree	122364	906	372	tree (n df.)	piːpi	p iː p i
204	Bahing	the tree	122569	906	372	tree (n df.)	midzhim	m i d zh i m
205	Bahing	the tree	122816	906	372	tree (n df.)	sɔːnam	s ɔː n a m
206	Bahing	the tree	122808	906	372	tree, Shorea robusta (n df.)	salam	s a l a m
207	Bahing	the tree	122814	906	372	tree, Nep. Harrā (n df.)	sɔksi	s ɔ ks i
208	Bahing	the tree	122584	906	372	tree, Callicarpa arborea (n df.)	makysi	m a k y s i
209	Bahing	the tree	122140	906	372	tree, Bauhinia variegata (n)	dzisi, dzhisi	dzisi, dzhisi
210	Bahing	the tree	122523	906	372	tree (?= broŋk Berchemia floribunda) (n df.)	brymsi	b r y ms i
211	Bahing	the tree	122562	906	372	tree, Nep mowa (n df.)	ʔbokto	ʔ b o k t o
212	Bahing	the tree	122865	906	372	tree, Nep. paḍ, bark (?) used to make tumplines (n df.)	hipsi	h i ps i
213	Bahing	the tree	122390	906	372	tree, Bauhinia purpurea (n df.)	pɔkɔksi	p ɔ k ɔ ks i
214	Bahing	the tree	122105	906	372	tree, Nep. kābro (n df.)	tsoktsi	ts o k ts i
215	Bahing	the tree	122172	906	372	tree, Bokehmeria rugulosa (n df.)	dzhɔːsiŋ	d zh ɔː s i ŋ
216	Bahing	the tree	122107	906	372	tree, Engelhardtia spicata (n df.)	tsokʔbale	ts o k ʔ b a l e
217	Bahing	the water	121797	948	47	water (baby talk) (n)	kaku, kaːku	kaku, kaːku
218	Bahing	the water	122559	948	47	water (n)	ʔbɔːky	ʔ b ɔː k y
219	Bahing	the wind	122156	960	9	wind (n)	dzu	d z u
220	Bahing	the woman	122571	962	174	woman (n)	mintsa	m i n ts a
221	Bahing	the year	122241	1226	777	year (bound m)	-tho	th o
222	Bahing	thick	122192	1244	980	thick (v)	tan-	t a n
223	Bahing	thin (object)	122671	2307	981	thin (v)	rœm-	r œ m
224	Bahing	thou [second person singular]	121972	1215	931	you (du.); we (di) (pron)	gøsi	g ø s i
225	Bahing	thou [second person singular]	121973	1215	931	you (pl.) (pron)	gøni	g ø n i
226	Bahing	thou [second person singular]	121970	1215	931	you (sg.) (pron)	gø	g ø
