ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
179	478892	ʔi	Demonstrative (Proximal);this	pn.	RC-DOC	1977	Chepang	
180	478893	-ʔi	Agent or Instrument marker (nominal)	fn1.	RC-DOC	1977	Chepang	
181	478894	-ʔi	Genitive (arch.), used with Comitative (or a ligature?)	fn2.	RC-DOC	1977	Chepang	
182	478895	-(ʔ)i	Plural (Verbal)	fn3.	RC-DOC	1977	Chepang	
183	478896	-ʔi	Reflexive {-sə}	fn4.	RC-DOC	1977	Chepang	
184	478897	ʔi.ci	this (very small)	pn.	RC-DOC	1977	Chepang	
185	478898	ʔi.tə	thus, in this way	adv.	RC-DOC	1977	Chepang	
186	478899	ʔi.haŋʔ	here	nl.	RC-DOC	1977	Chepang	
187	478900	ʔiʔ	Demonstrative (Close Proximal); this here	pn.	RC-DOC	1977	Chepang	
188	478901	ʔik.nəm	five days ago	nt.	RC-DOC	1977	Chepang	
189	478902	ʔik.puʔ	three years hence	nt.	RC-DOC	1977	Chepang	
190	478903	ʔik.səy	five days hence	nt.	RC-DOC	1977	Chepang	
191	478904	ʔiniʔ-	somewhat loose, wobbly	vai.	RC-DOC	1977	Chepang	
192	478905	ʔin.də.ri	south	n.	RC-DOC	1977	Chepang	
193	478906	ʔin.də.ri.pa/ma	god/goddess of south	n.	RC-DOC	1977	Chepang	
194	478907	ʔipiʔ-	catch breath, gasp, wheeze, breathe with difficulty	vit.	RC-DOC	1977	Chepang	
195	478908	ʔim(i)ʔ-	darken, become overcast (sky)	vi.	RC-DOC	1977	Chepang	
196	478909	ʔim.bi dim.bi	narrow, close (gorge)	onom.	RC-DOC	1977	Chepang	
197	478910	ʔiliʔ-	wobble, become loose	vai.	RC-DOC	1977	Chepang	
198	478911	ʔis-	be between, place between; insert between or within (esp. place food between leaves to cook it in hot coals), put to bed (child)	vat.	RC-DOC	1977	Chepang	
199	478912	laŋ ʔis-	cook bread by wrapping in banana leaves and placing in hot coals	vt.	RC-DOC	1977	Chepang	
200	478913	ʔisi.ʔisi	crammed in between	onom.	RC-DOC	1977	Chepang	
201	478914	ʔis.laŋ	bread made from millet	n.	RC-DOC	1977	Chepang	
202	478915	ʔih	Demonstrative (Emphatic Proximal);this right here	pn.	RC-DOC	1977	Chepang	
203	478916	ʔu	Demonstrative (Contrastive Distal);that nearby (in contrast to this nearby)	pn.	RC-DOC	1977	Chepang	
204	478917	-(ʔ)u	Agent marker (Verbal)	fn1.	RC-DOC	1977	Chepang	
205	478918	-(ʔ)u	Transitive marker (for Imperative)	fn2.	RC-DOC	1977	Chepang	
206	478919	ʔu-	do (unspecified thing), Hesitation form)	vt.	RC-DOC	1977	Chepang	
207	478920	ʔu.gər.(to)	clan ancestor - father Hiŋguto mother Sisuŋbhara	n.	RC-DOC	1977	Chepang	
208	478921	ʔu.gər.məyʔ	clan (sp.)	nn.	RC-DOC	1977	Chepang	
209	478922	ʔu.nəmh	certain time before, a previous day	nt.	RC-DOC	1977	Chepang	
210	478923	ʔu.bhi	rock dwelling (ch.), place of origin of game	n.	RC-DOC	1977	Chepang	
211	478924	ʔu.bhi.(diŋ/pa/ma)	god (sp.) dwelling in rock under the earth, place of this god	nn.	RC-DOC	1977	Chepang	
212	478925	ʔu.muk.waʔ	bird (sp.), Quail	n.	RC-DOC	1977	Chepang	
213	478926	ʔu.muk.waʔ.bən	plant (sp.), weed frequented by birds	n.	RC-DOC	1977	Chepang	
214	478927	ʔu.ya	Causal Conjunction; therefore, so then, as a result	fn.	RC-DOC	1977	Chepang	
215	478928	ʔu.yum tyu.yum	busy preparation	adjn.	RC-DOC	1977	Chepang	
216	478929	ʔu.sə.ləm.ʔa	in this way	onom.	RC-DOC	1977	Chepang	
217	478930	ʔuʔ	Demonstrative (Remote Distal);that (distant, out of sight)	pn.	RC-DOC	1977	Chepang	
218	478931	ʔuʔ.dhən.ʔi	spirit (f.)	nn.	RC-DOC	1977	Chepang	
219	478932	ʔuk.nəm	five days hence	nt.	RC-DOC	1977	Chepang	
220	478933	ʔut.tər	north (<N)	n.	RC-DOC	1977	Chepang	
221	478934	ʔun.cu.lawʔ-	suggest wrongdoing, tempt	vt.	RC-DOC	1977	Chepang	
222	478935	ʔun.tənʔ-	root, dig in earth (pig)	vt.	RC-DOC	1977	Chepang	
223	478936	ʔun.dhu.luʔ	grass (sp.)	n.	RC-DOC	1977	Chepang	
224	478937	ʔup-	covered (opening); cover mouth (esp. with hand)	vat.	RC-DOC	1977	Chepang	
225	478938	ʔupu(ʔ)-	hold within (hands, mouth, etc.)	vit.	RC-DOC	1977	Chepang	
226	478939	ʔup.ʔaŋ	fast, hibernation	n.	RC-DOC	1977	Chepang	
227	478940	ʔup.ʔaŋ kaʔ-	fast, abstain from food	vi.	RC-DOC	1977	Chepang	
228	478941	ʔup.ʔaŋ payh-	end hibernation	vi.	RC-DOC	1977	Chepang	
229	478942	ʔup.ʔaŋ	place in underworld, below ʔanya cyanyarraŋ (cos.)	nn.	RC-DOC	1977	Chepang	
230	478943	ʔum	egg	n.	RC-DOC	1977	Chepang	
231	478944	ʔum-	fester (wound)	vi.	RC-DOC	1977	Chepang	
232	478945	ʔum-	lay egg	vt.	RC-DOC	1977	Chepang	
233	478946	ʔum.kliʔ	pus	n.	RC-DOC	1977	Chepang	
234	478947	ʔum.parʔ.gu	plant (sp.), species of taro with tuber	n.	RC-DOC	1977	Chepang	
235	478948	ʔum.purʔ.sayʔ	tree (sp.), with piquant fruit	n.	RC-DOC	1977	Chepang	
236	478949	ʔumʔ-	be, become narrow, pressed together (as petals in bud); close in, enclose, entrap (inside)	vat.	RC-DOC	1977	Chepang	
237	478950	ʔumh-	keep inside container, keep in leaf basket, artificially ripen (bananas, etc., in leaf basket)	vt.	RC-DOC	1977	Chepang	
238	478951	ʔumhu-	eat with mouth closed, keep in mouth	vt.	RC-DOC	1977	Chepang	
239	478952	ʔuy-	smoky, hang around, circle (esp. smoke)	vai.	RC-DOC	1977	Chepang	
240	478953	ʔuyu-	drift (cloud, smoke)	vi.	RC-DOC	1977	Chepang	
241	478954	ʔuy.liŋ dhuy.liŋ	rise (smoke)	onom.	RC-DOC	1977	Chepang	
242	478955	ʔuyh.le	formerly (<N uhile)	nt.	RC-DOC	1977	Chepang	
243	478956	ʔurʔ-	push up underneath, cause to bulge, break through or out (e.g. sprout through soil), raise skin	vt.	RC-DOC	1977	Chepang	
244	478957	ʔurh-	bulge, protrude (esp. object in bag)	vi.	RC-DOC	1977	Chepang	
245	478958	ʔulʔ-	smoulder, give off smoke, drive out or off with smoke, offer incense	vit.	RC-DOC	1977	Chepang	
246	478959	ʔus	crop (of bird)	n.	RC-DOC	1977	Chepang	
247	478960	ʔus-	whistle to call, or when puffed	vi.	RC-DOC	1977	Chepang	
248	478961	ʔus.laŋ.(ra.ni)	goddess (sp.), of underworld - whistles to warn shaman	nn.	RC-DOC	1977	Chepang	
249	478962	ʔuh	Demonstrative (Remote Distal);that (in far distance, out of sight)	pn.	RC-DOC	1977	Chepang	
250	478963	ʔuh-	change state (usu. for better), recover, revive (esp. sick person); lead back sick person's spirit (ch.)	vi.	RC-DOC	1977	Chepang	
251	478964	ʔe	exclamation of perception	excl.	RC-DOC	1977	Chepang	
252	478965	ʔe-	void, defecate (WD)	vt.	RC-DOC	1977	Chepang	
253	478966	ʔe.tə	like this (by analogy <N eti thus cf. Sk. iti)	fn.	RC-DOC	1977	Chepang	
254	478967	ʔe.bet	Conjunction (Consequence); and, (so) then	fn.	RC-DOC	1977	Chepang	
255	478968	ʔe.weŋ	still, calm	onom.	RC-DOC	1977	Chepang	
