OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
156096	sã₅₅	s ã ₅₅	1272	Allen2007, 452	three / 三	sã55	s ã ₅₅
5503	t͡sʰu₅₅	t͡sʰ u ₅₅	1243	Allen2007, 392	thick,coarse / 粗	tsʰu55	t͡sʰ u ₅₅
1287831	a₅₅ta₄₄	a ₅₅ t a ₄₄	452	Allen2007, 485	here / 这里	a55ta44	a ₅₅ t a ₄₄
5458	tou₃₁	t o u ₃₁	1259	Allen2007, 484	this / 这	tou31	t o u ₃₁
950344	t͡sɤ̃₂₁	t͡s ɤ̃ ₂₁	541	Allen2007, 147	intestine,gut / 肠子	tsɤ̃21	t͡s ɤ̃ ₂₁
6042	sou₅₅	s o u ₅₅	361	Allen2007, 12	frost / 霜	sou55	s o u ₅₅
5983	kua₄₄tou₂₁	k u a ₄₄ t o u ₂₁	97	Allen2007, 144	bone / 骨头	kua44tou21	k u a ₄₄ t o u ₂₁
5490	a₅₅tɔ₂₁i₄₄	a ₅₅ t ɔ ₂₁ i ₄₄	1410	Allen2007, 488	who / 谁	a55tɔ21i44	a ₅₅ t ɔ ₂₁ i ₄₄
5440	zɿ₃₃tou₃₁	z ɿ ₃₃ t o u ₃₁	1304	Allen2007, 132	tongue / 舌头	zɿ33tou31	z ɿ ₃₃ t o u ₃₁
5639	kɯ₃₅	k ɯ ₃₅	136	Allen2007, 434	cold / 冷	kɯ35	k ɯ ₃₅
869106	jĩ₃₃	j ĩ ₃₃	772	Allen2007, 397	near / 近	jĩ33	j ĩ ₃₃
340828	sẽ₄₂	s ẽ ₄₂	252	Allen2007, 84	egg / 蛋	sẽ42	s ẽ ₄₂
7004	t͡ɕʰi₄₄	t͡ɕʰ i ₄₄	999	Allen2007, 456	seven / 七	tɕʰi44	t͡ɕʰ i ₄₄
1333710	t͡sʰɛ₄₄	t͡sʰ ɛ ₄₄	910	Allen2007, 406	red / 红	tsʰɛ44	t͡sʰ ɛ ₄₄
3854	zou₃₁	z o u ₃₁	1320	Allen2007, 89	tree / 树	zou31	z o u ₃₁
3253	kʲɛ₃₅t͡sɔ₄₂	kʲ ɛ ₃₅ t͡s ɔ ₄₂	944	Allen2007, 15	river / 河	kʲɛ35tsɔ42	kʲ ɛ ₃₅ t͡s ɔ ₄₂
5438	t͡sã₂₁	t͡s ã ₂₁	640	Allen2007, 390	long / 长	tsã21	t͡s ã ₂₁
5476	kã₅₅	k ã ₅₅	628	Allen2007, 150	liver / 肝	kã55	k ã ₅₅
1510493	za₃₁	z a ₃₁	122	Allen2007, 263	chew / 嚼	za31	z a ₃₁
5503	kɯ₃₃	k ɯ ₃₃	1230	Allen2007, 394	thick / 厚	kɯ33	k ɯ ₃₃
1499731	pi₃₅sɛ̃₂₁	p i ₃₅ s ɛ̃ ₂₁	606	Allen2007, 27	left(side) / 左边	pi35sɛ̃21	p i ₃₅ s ɛ̃ ₂₁
352331	pa₅₅	p a ₅₅	1225	Allen2007, 480	they(3 p.p.) / 他们	pa55	p a ₅₅
4165	nɛ̃₃₃ni₂₁	n ɛ̃ ₃₃ n i ₂₁	1443	Allen2007, 156	woman / 女人	nɛ̃33ni21	n ɛ̃ ₃₃ n i ₂₁
1502	mu₃₁kã₄₂	m u ₃₁ k ã ₄₂	347	Allen2007, 13	fog / 雾	mu31kã42	m u ₃₁ k ã - ₄₂
