lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
217954				zut³³lo⁵³	descend		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	744.52	6.7.8	Downward	0
218107				zæ³³duȶ¹¹	retreat		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	747.52	6.7.2	Outward	0
212599				zɯ⁵³	insert / stick into		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	639.52	6.2	Action Verbs with Patient	0
206938				ŋua³³	look		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	528.52	1.2.6.11	Behold	0
191791				ɣaȶ³³	body		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	231.52	1.1.1	Body	0
212701				ɣaȶ³³	grind		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	641.52	9.5	Change of state	0
208009				ɣei³³	take		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	549.52	6.21	Acquisitions	0
214384	1646			ɣei³³	want		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	674.52	8.3.1.14.3	Desirable	0
214435				ɣei³³	get		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	675.52	1.1.5	Strength	0
215557				ɣei³³	marry (a woman)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	697.52	6.19	Social action	0
212497				ɣok³³	prick		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	637.52	8.4	Feeling	0
209947				ɣoŋ³³ɕit³³	connect		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	587.52	6.13.3	With Tools	0
214588				ɣuaŋ³³	search		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	678.52	6.2.2.2	Move an object	0
211273				ɣua⁵³	weave		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	613.52	5.1	Waste products	0
213670				ɣu³³	put / place		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	660.52	6.17	Putting	0
216577	1108			ɣuɛ³³	laugh		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	717.52	1.8.8.1	Laugh/Smile	0
215302				ɣɔk³³	borrow / lend		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	692.52	6.22	Exchanges	0
207142				ɣɔŋ	listen		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	532.52	1.2.7.4	Hear/Listen	0
215200				ɣɔ⁵³	ask / inquire		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	690.52	8.5.7.1	Ask	0
226726	2621			ɣək³³	six		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	916.52	9.9	Numbers and numeric expression	0
180265				ɣə³³mək³³	thunder		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	5.52	3.2.1	Weather and seasons	0
209692				ɣəŋ³³	sleep		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	582.52	1.1.4.1	Sleep/Be asleep	0
209335				ɣəȶ³³	carry on back		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	575.52	6.2.2.2.1	Carry	0
216373				ɣə⁵³	drive away		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	713.52	6.7.10	Move with something else	0
214078				ɣɯ³³ɣə⁵³	hide	v.t.	1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	668.52	1.6.5.1	Hide/Leather	0
226573	2666			ɣɯək³³	three		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	913.52	9.9	Numbers and numeric expression	0
187660				ɣɯ⁵³	frog		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	150.52	2.1.6.2	Frog/Toad	0
187507				ȵa⁵³mə³³ȵo³³	swallow	n	1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	147.52	1.3.5.6	Swallow	0
226522	2504			ȵi³³	two		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	912.52	9.9	Numbers and numeric expression	0
195259				ȵi³³həȵ³³	guest		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	299.52	4.4.3	Outsiders	0
183580				ȵua³³	spring		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	70.52	6.7.9	Manner is primary	0
220147				ȵuŋ³³	sting	v	1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	787.52	2.4.2	Sting	0
226114				ȵə³³go³³	intelligent		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	904.52	8.3.1.13.1	Think	0
219535				ɕit³³ko⁵³	grow		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	775.52	9.7.2	Verbs referring to size/shape	0
185569				ɕi³³	bovine		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	109.52	2.1.2	Bovine	0
185671				ɕi³³bəʴi³³	cattle (common)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	111.52	2.1.2	Bovine	0
185773				ɕi³³chəʴ³³	horse		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	113.52	2.1.7	Equine	0
188935				ɕi³³læ³³	hoof		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	175.52	1.5.4	Hoof/Paw	0
210355				ɕi³³mu³³tok¹¹	plough	v	1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	595.52	5.3	Diseases	0
190924				ɕiŋ³³kan³³	peach		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	214.52	3.1.5	Fruits and vegetables	0
184192				ɕiŋ³³tə³³aŋ³³bo³³	July		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	82.52	9.1.2	Months and Years	0
