# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST
242	black	Wang2006a	xɯ55	?	?	Jinman	xɯ₅₅	black	1005	CVT
243	black	Wang2006a	xɯ44	?	?	Jinxing	xɯ₄₄	black	1005	CVT
244	black	Wang2006a	xɯ44	?	?	Dashi	xɯ₄₄	black	1005	CVT
245	black	Wang2006a	xɯ44	?	?	Zhoucheng	xɯ₄₄	black	1005	CVT
246	black	Wang2006a	xɯ44	?	?	Mazhelong	xɯ₄₄	black	1005	CVT
247	black	Allen2007	xɯ44	?	黑	Jianchuan	xɯ₄₄	black	410	CVT
248	black	Allen2007	xɯ44	?	黑	Eryuan	xɯ₄₄	black	410	CVT
249	black	Allen2007	xɯ44	?	黑	Heqi	xɯ₄₄	black	410	CVT
250	black	Allen2007	xɯ44	?	黑	Lanping	xɯ₄₄	black	410	CVT
251	black	Allen2007	xɯ44	?	黑	Qiliqiao	xɯ₄₄	black	410	CVT
252	black	Allen2007	xɯ44	?	黑	Yunlong	xɯ₄₄	black	410	CVT
253	black	Allen2007	xou44	?	黑	Xiangyun	xou₄₄	black	410	CVT
