OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
3854	ɖɯ₃₁	ɖ ɯ ₃₁	1306	Allen2007, 89	tree / 树	ɖɯ31	ɖ ɯ ₃₁
3253	ʈõ₂₁	ʈ õ ₂₁	940	Allen2007, 15	river / 河	ʈõ21	ʈ õ ₂₁
5438	ʈõ₃₁	ʈ õ ₃₁	640	Allen2007, 390	long / 长	ʈõ31	ʈ õ ₃₁
5476	qɔ̃₅₅	q ɔ̃ ₅₅	628	Allen2007, 150	liver / 肝	qɔ̃55	q ɔ̃ ₅₅
1510493	ɴã₅₅ʐa₄₂	ɴ ã ₅₅ ʐ a ₄₂	126	Allen2007, 263	chew / 嚼	ɴã55ʐa42	ɴ ã ₅₅ ʐ a ₄₂
5494	t͡ʂɛ̃₅₅me₃₃xe₃₃	t͡ʂ ɛ̃ ₅₅ m e ₃₃ x e ₃₃	498	Allen2007, 491	how / 怎样	tʂɛ̃55me33xe33	t͡ʂ ɛ̃ ₅₅ m e ₃₃ x e ₃₃
5503	qɯ̃₃₁	q ɯ̃ ₃₁	1230	Allen2007, 394	thick / 厚	qɯ̃31	q ɯ̃ ₃₁
1499731	la₄₄t͡ɕỹ₅₅	l a ₄₄ t͡ɕ ỹ ₅₅	602	Allen2007, 27	left(side) / 左边	la44tɕỹ55	l a ₄₄ t͡ɕ ỹ ₅₅
352331	bi₅₅t͡ɕa₃₁	b i ₅₅ t͡ɕ a ₃₁	1229	Allen2007, 480	they(3 p.p.) / 他们	bi55tɕa31	b i ₅₅ t͡ɕ a ₃₁
4165	ɲõ₄₄nɛ₄₄t͡ɕi₃₁ɲi₃₁	ɲ õ ₄₄ n ɛ ₄₄ t͡ɕ i ₃₁ ɲ i ₃₁	1449	Allen2007, 156	woman / 女人	ɲõ44nɛ44tɕi31ɲi31	ɲ õ ₄₄ n ɛ ₄₄ t͡ɕ i ₃₁ ɲ i ₃₁
1502	mɯ̃₃₁kao₄₂	m ɯ̃ ₃₁ k a o ₄₂	347	Allen2007, 13	fog / 雾	mɯ̃31kao42	m ɯ̃ ₃₁ k a o ₄₂
5992	pa₄₄	p a ₄₄	108	Allen2007, 138	breast / 乳房	pa44	p a ₄₄
5464	a₅₅bɔ₃₃	a ₅₅ b ɔ ₃₃	298	Allen2007, 162	father / 父亲	a55bɔ33	a ₅₅ b ɔ ₃₃
2061	lu₃₁bɯ₃₃	l u ₃₁ b ɯ ₃₃	555	Allen2007, 16	lake / 湖	lu31bɯ33	l u ₃₁ b ɯ ₃₃
