ID	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
313702	giat¹	eight		PB-CLDB	1778	Tiddim	345
313704	gik³ > gi?³	heavy	vi	PB-CLDB	1778	Tiddim	346
313705	gil²	belly		PB-CLDB	1778	Tiddim	347
313707	gil² kha¹	pancreas		PB-CLDB	1778	Tiddim	348
313708	gil² pi¹	stomach		PB-CLDB	1778	Tiddim	349
313709	gil² zang²	intestine		PB-CLDB	1778	Tiddim	350
313710	gim¹	get tired; pant	v	PB-CLDB	1778	Tiddim	351
313711	gim²	smell		PB-CLDB	1778	Tiddim	352
313713	gim³ na²	plague		PB-CLDB	1778	Tiddim	353
313714	ging² > gin³	sound	v	PB-CLDB	1778	Tiddim	354
313715	go¹ tuai²	bamboo shoot		PB-CLDB	1778	Tiddim	355
313717	gol?³	have an exhausted feeling in the muscles	v	PB-CLDB	1778	Tiddim	356
313718	gol?³	muscular	vi	PB-CLDB	1778	Tiddim	357
313719	gol¹	big; huge	vi	PB-CLDB	1778	Tiddim	358
313720	gong²	mouth of a bottle or pot		PB-CLDB	1778	Tiddim	359
313722	gou³ > go?³	slaughter a domesticated animal [but not a bird]	v	PB-CLDB	1778	Tiddim	360
313723	goː² > got³	dry up; become hardened; become seasoned	v	PB-CLDB	1778	Tiddim	361
313724	goː² lan²	collar		PB-CLDB	1778	Tiddim	362
313725	goːi²	grind; digest	v	PB-CLDB	1778	Tiddim	363
313726	goːl²	throat		PB-CLDB	1778	Tiddim	364
313728	goːl² boːk²	goitre		PB-CLDB	1778	Tiddim	365
313729	goːl² tang¹	Adam's apple		PB-CLDB	1778	Tiddim	366
313730	goːl³	fence		PB-CLDB	1778	Tiddim	367
313731	goːm¹	add	v	PB-CLDB	1778	Tiddim	368
313732	goːm²	shrink	vi	PB-CLDB	1778	Tiddim	369
313733	goːng² > goːn³	thin and lean	vi	PB-CLDB	1778	Tiddim	370
313734	goːt¹	punish severely	v	PB-CLDB	1778	Tiddim	371
